no,title,link
0," 고소영, 전지현·정우성과 찍은 지오다노 광고 ""말도 안되는 환경, 감전 위험에 여기저기 타박상"" ",http://v.daum.net/v/20260811232150956
1," 전지현, 미국에서 포착된 반전 볼륨감...복장뼈 드러낸 아찔한 드레스룩에 ""퀸 지아나!"" 찬사 ",http://v.daum.net/v/20260725091840829
2," “200억원 쏟아붓고” 천하의 전지현도 쓴맛…극장 내리기도 전에 OTT행, 난리더니 이달 말 결론 ",http://v.daum.net/v/20260810204145360
3," 고소영, 정우성·전지현과 '위험천만' CF 촬영…""감전 위험에 타박상까지"" ",http://v.daum.net/v/20260812091150023
4," 고소영, 정우성·전지현과 촬영장서 감전 위험…""말이 안 되는 환경"" (고소영) ",http://v.daum.net/v/20260812074537619
5, 전지현 중단발이 화제인 이유? 미용실 가기 전 알아야 할 포인트 ,http://v.daum.net/v/20260729163927569
6, 안보현·김희애·전지현…JTBC 드라마 라인업 공개 ,http://v.daum.net/v/20260731145740133
7," 전지현, 뉴욕 접수 ‘아시아 스타상’ 수상 ",http://v.daum.net/v/20260716080728785
8," 전지현 ""힘든 순간에도 감정 동굴에 오래 머물지 않아"" ",http://v.daum.net/v/20260724083103857
9," 전지현, 변함없는 아우라…""'프로페셔널함'은 나를 돌볼 줄 아는 것"" ",http://v.daum.net/v/20260716155637670
10," ""안효섭·안보현→전지현""…JTBC, 편성 승부수 띄운다 ",http://v.daum.net/v/20260731120928593
11," 전지현 ‘군체’, 23일 쿠팡플레이 공개 ",http://v.daum.net/v/20260716134800735
12, 한 시간에 800칼로리! 공효진·전지현의 군살 삭제 킥복싱 운동법 ,http://v.daum.net/v/20260728060107883
13, 전지현만 소화 가능한 포즈‥역시 현실 천송이 ,http://v.daum.net/v/20260722182935689
14," 전지현, 美 NY 아시아 영화제 빛냈다! ",http://v.daum.net/v/20260716095548865
15," 전지현, 뉴욕영화제 최고상 ",http://v.daum.net/v/20260716074707451
16," 전지현, 칸 이어 뉴욕 접수..뉴욕 아시아 영화제서 트로피 들었다 [공식] ",http://v.daum.net/v/20260716080107640
17," ""주연 안효섭→전지현"" JTBC, 206억 못 갚아도…드라마 라인업은 '탄탄' [공식] ",http://v.daum.net/v/20260731144450632
18," 전지현, 제25회 뉴욕아시아영화제서 최고 권위 '아시아 스타상' 영예 ",http://v.daum.net/v/20260716091243790
19," 전지현, 홍콩서 과도한 태닝으로 드러난 비키니 라인...'손등 주름'은 싹 지웠네 ",http://v.daum.net/v/20260711085038416
20," 역시 전지현, '건강 미인'으로 급부상..복근 이어 구릿빛 몸매까지 [이슈S] ",http://v.daum.net/v/20260711202727255
21," JTBC, 경영난 위기 속 라인업 발표..전지현·안효섭·김희애 구세주되나 [공식] ",http://v.daum.net/v/20260731153651660
22," 전지현, 뉴욕아시아영화제 최고상 품었다…칸 이어 글로벌 존재감 ",http://v.daum.net/v/20260716074149359
23," 전지현, 선명하게 보이는 비키니 라인..홍콩 들썩이게 한 '파격 구릿빛' 자태 ",http://v.daum.net/v/20260711134656852
24," 전지현, 태닝 피부로 완성한 색다른 매력…독보적 우아美 ",http://v.daum.net/v/20260711155909487
25," 전지현, 홍콩서 확 달라진 피부톤…구릿빛 태닝 자국 포착 ",http://v.daum.net/v/20260711111927314
26," ""전지현씨 신화의 진화, 이젠 커리치킨""...1.5억마리 넘을 '커링클' 출격[리얼로그M] ",http://v.daum.net/v/20260729152936783
27," 전지현, 화보로 증명한 클래스 [화보] ",http://v.daum.net/v/20260716104837956
28," “평소의 하얀 피부 어디 갔나” 전지현, 홍콩서 구릿빛 태닝 ",http://v.daum.net/v/20260712071201713
29," 전지현, 비키니 태닝 자국 살포시 가리고…뉴욕 뒤집은 여신 아우라 ",http://v.daum.net/v/20260712175402956
